disease_ID,disease_name,ICD9,meridian,symptoms,acupoints
DIS0327,女性不孕症,628,足太陽膀胱經,['生育年齡婦女正常性生活未避孕同居2年不孕或曾懷孕但2年内未孕'],"['腎俞', '足三里', '內關', '關元', '三陰交', '陰交', '還巢穴', '婦科五穴', '石關', '中極', '氣海', '歸來']"
DIS0678,女性尿道綜合徵,,足太陽膀胱經,['尿频，尿急，尿痛和性交痛'],"['腎俞', '委中', '關元', '三陰交', '中極', '氣海', '膀胱俞', '中膂俞', '會陽', '大赫', '水道']"
DIS0322,女性壓力性尿失禁,625.6,足太陽膀胱經,['咳嗽、喷嚏、大笑等腹压增加时不自主溢尿'],"['腎俞', '三陰交', '水道', '白環俞', '曲骨']"
DIS0318,子宮之疾患,621,足太陽膀胱經,[],"['腎俞', '陽池', '三陰交', '照海', '中極', '次髎', '大敦']"
DIS0441,小兒夜尿,788.43,足太陽膀胱經,['小兒夜尿'],"['腎俞', '關元', '三陰交', '百會', '中極', '後頂']"
DIS0649,中風後失眠,,足太陽膀胱經,['中風後失眠'],"['腎俞', '足三里', '太沖', '內關', '中脘', '太陽', '風池', '太溪', '風府', '三陰交', '神門', '皮質下', '百會', '神庭', '照海', '交感', '申脈', '腎', '心', '神道', '四神聰', '印堂', '內耳']"
DIS0427,心悸,785.1,足太陽膀胱經,"['发作性心慌不安，心跳剧烈，不能自主', '胸闷气短，神疲乏力，头晕喘促，甚至不能平卧，以至出现晕厥']","['腎俞', '足三里', '四花上穴', '火星上穴', '火星下穴', '合谷', '太沖', '內關', '中脘', '解溪', '大間穴', '重子穴', '重仙穴', '曲陵穴', '肩中穴', '建中穴', '火菊穴', '外關', '厥陰俞', '神堂', '心靈穴', '三陰交', '火硬穴', '神門', '皮質下', '肝', '百會', '神庭', '郄門', '大陵', '勞宮', '間使', '地宗穴', '上九里穴', '氣海', '公孫', '膽穴', '側間穴', '小間穴', '總樞穴', '小腸', '膈俞', '心門穴', '火串穴', '天黃穴', '明黃穴', '其黃穴', '心俞', '交感', '心', '膻中', '大杼', '內分泌', '火連穴', '通關穴', '通天穴', '通山穴', '心常一穴', '心常二穴', '心常三穴', '通里', '緣中', '中間穴', '下間穴', '開脾穴', '三叉三穴', '人士穴', '地士穴', '天士穴', '建力穴', '中力穴', '四花里穴', '通心穴', '木黃穴', '外耳穴', '甲狀腺腫穴', '胃毛七穴', '陰郄', '神封', '靈墟', '神藏', '彧中', '巨闕', '庫房', '屋翳', '膺窗']"
DIS0496,牙齦炎,,足太陽膀胱經,"['刷牙或咬硬物时出血', '牙龈呈粉红色', '牙龈边缘变厚且不再紧贴牙面', '牙龈变得松软、缺乏弹性、不紧贴牙面', '龈沟液增多']","['腎俞', '太溪']"
DIS0408,功能性腰痛,724.2,足太陽膀胱經,"['在疼痛的部位有固定的压痛点，叩击时明显疼痛减轻', '腰部活动受限', '腰部乏力']","['腎俞', '足三里', '委中', '關元', '陰陵泉', '命門', '至陽', '環跳', '腰陽關']"
DIS0402,外傷性脊椎病變,721.7,足太陽膀胱經,[],"['腎俞', '足三里', '陽陵泉', '風市', '豐隆', '委中', '崑崙', '太溪', '關元', '大陵', '勞宮', '湧泉', '命門', '環跳', '夾脊', '懸鐘', '承扶']"
SYS0090,多汗,,足太陽膀胱經,['多汗'],"['腎俞', '合谷', '肩峰穴', '復溜', '李白穴', '後溪', '中府', '雲門']"
DIS0234,老年氣喘,493,足太陽膀胱經,[],"['腎俞', '肺俞', '太溪', '孔最']"
DIS0210,老年慢性氣管炎,464,足太陽膀胱經,[],"['腎俞', '肺俞', '太溪', '孔最']"
DIS0162,耳聾,389,足太陽膀胱經,['耳聾'],"['腎俞', '足三里', '靈骨穴', '合谷', '行間', '太沖', '內關', '中脘', '浮白', '下關', '頭竅陰', '風池', '聽宮', '豐隆', '翳風', '關沖', '液門', '中渚', '陽池', '外關', '支溝', '太溪', '關元', '三陰交', '百會', '大陵', '足竅陰', '商陽', '氣海', '聽會', '耳門', '禾髎', '中沖', '肩貞', '陽溪', '後溪', '腕骨', '駟馬下穴', '駟馬上穴', '駟馬中穴', '通里', '足臨泣', '俠溪', '陽谷', '分水穴', '四瀆', '花骨一穴', '腕順一穴', '腕順二穴', '上關', '天容', '小海', '顱息', '翳明', '天窗', '瘛脈']"
SYS0011,血尿,599.7,足太陽膀胱經,['血尿'],"['腎俞', '足三里', '人皇穴', '關元', '三陰交', '神門', '分枝上穴', '分枝下穴', '梁丘', '隱白', '命門', '地皇穴', '膈俞', '天皇穴']"
DIS0439,尿失禁,788.3,足太陽膀胱經,['尿液不由自主排除'],"['腎俞', '關元', '三陰交', '中極']"
DIS0060,尿崩症,253.5,足太陽膀胱經,['大量排尿、煩躁、極度口渴與大量飲水'],"['腎俞', '關元', '三陰交']"
DIS0299,尿道結石,594.2,足太陽膀胱經,"['腰腹部會無預警地出現劇烈絞痛，有時會輻射到生殖器和大腿。病人會因此痛到坐立難安', '血尿']","['腎俞', '關元', '三陰交', '中極', '氣海', '膀胱俞', '秩邊', '石門', '六快穴', '七快穴', '金門']"
SYS0060,扭傷(腰部),847.2,足太陽膀胱經,[],"['腎俞', '足三里', '感覺區', '委中', '命門', '足運區', '至陽', '環跳', '腰陽關', '三叉二穴', '腰痛點']"
DIS0551,更年期綜合徵,,足太陽膀胱經,"['月经紊乱', '反复、短暂的在面部、颈部、胸部出现潮热', '出汗', '心悸、头痛、头晕、失眠、耳鸣 ', '注意力不集中', '易激动、焦虑、抑郁', '记忆力减退']","['腎俞', '足三里', '陽陵泉', '合谷', '太沖', '內關', '中脘', '頂顳後斜線', '三間', '風池', '肺俞', '大椎', '太溪', '曲池', '關元', '三陰交', '神門', '皮質下', '肝', '百會', '大陵', '復溜', '列缺', '陰陵泉', '氣海', '額旁3線', '頂中線', '交感', '腎', '膻中', '內分泌', '陰郄', '束骨', '內生殖器', '額中線', '曲泉', '耳背溝']"
DIS0307,男性不孕症,606,足太陽膀胱經,['男性無法有生育能力'],"['腎俞', '足三里', '關元', '三陰交', '然谷', '命門', '中極', '歸來', '次髎', '地機', '曲泉']"
SYS0072,身體虛弱,,足太陽膀胱經,['身體虛弱'],"['腎俞', '足三里', '期門', '中脘', '委中', '膏肓', '關元', '膽俞', '少商', '命門', '氣海', '長強', '膈俞', '上瘤穴', '州圓穴', '州昆穴']"
DIS0043,乳癌,174,足太陽膀胱經,"['乳房摸到硬塊', '腋下摸到硬塊', '乳頭出現異常分泌物', '皮膚出現變化']","['腎俞', '足三里', '陽陵泉', '合谷', '太沖', '內關', '中脘', '風池', '肺俞', '大椎', '肩峰穴', '太溪', '關元', '三陰交', '神門', '百會', '大陵', '大鐘', '復溜', '列缺', '外三關穴', '陰陵泉', '氣海', '次髎', '心俞', '陰郄', '束骨', '曲泉', '雙龍一穴', '雙龍二穴', '俞府', '華蓋']"
DIS0446,乳糜尿,791.1,足太陽膀胱經,[],"['腎俞', '三陰交', '中極', '神闕']"
DIS0079,性功能障礙,302.7,足太陽膀胱經,"['性欲障礙：一段時間內，缺乏或完全沒有進行性行為的慾望或出現性幻想', '性喚起障礙', '勃起功能障礙：陰莖在性行為期間無法勃起或維持勃起', '早發性射精：當事人在伴侶達至性高潮之前射精，或在滿意的性行為持續時間前射精', '性高潮障礙：當事人在經歷包含最少75%時段性接觸的正常性興奮期後，仍不能或難以達至高潮的情況', '性疼痛障礙，亦稱性交疼痛：性交過程中所出現的疼痛', '性高潮後障礙：人於高潮或射精過後產生症狀。性交後憂鬱指的是性交後感到憂鬱或焦慮，可於性交後5分鐘-2小時發生。部分人在性活動期間感到頭骨和頸部存有痛楚，這稱為性頭痛', '盆底功能障礙', '罕有男性性功能障礙']","['腎俞', '足三里', '行間', '太沖', '內關', '解溪', '委中', '太溪', '關元', '三陰交', '神門', '百會', '湧泉', '照海', '命門', '天樞', '中極', '氣海', '生殖區', '足運區', '懸鐘', '心俞', '腕骨', '大腸俞', '氣海俞', '氣沖', '俞府']"
DIS0302,泌尿道感染,599,足太陽膀胱經,"['排尿症狀：可能會出現頻尿（常常跑廁所）、尿急、尿液混濁、排尿時有灼熱感或解尿時感覺疼痛，嚴重甚至會出現血尿。', '感染相關症狀：可能會出現寒顫、發燒、腰背（有可能感染到腎臟）或是骨盆區域的疼痛（有可能感染到膀胱）。也有可能出現噁心、嘔吐等症狀。']","['腎俞', '太溪', '三陰交', '陰陵泉', '中極', '次髎', '曲泉']"
DIS0655,物質使用障礙症,,足太陽膀胱經,[],"['腎俞', '足三里', '合谷', '太沖', '內關', '太陽', '陽白', '大椎', '外關', '曲池', '神門', '肝', '百會', '命門', '至陽', '夾脊', '胃', '交感', '腎', '神道', '印堂', '靈台', '枕', '腕骨', '築賓', '率谷', '肺']"
DIS0042,肺癌,162,足太陽膀胱經,[],"['腎俞', '足三里', '四花中穴', '火星上穴', '火星下穴', '靈骨穴', '合谷', '大間穴', '重子穴', '重仙穴', '三陰交', '外三關穴', '小間穴', '大白穴', '心常一穴', '心常二穴', '心常三穴', '四花副穴', '駟馬下穴', '駟馬上穴', '駟馬中穴']"
DIS0303,前列腺增生,600,足太陽膀胱經,"['排尿時開始感到困難，覺得膀胱裡的尿液沒有排完(尿液滴漏，留下無法解乾淨的餘滴)', '時常感到想要小便，不時有尿意', '尿液流量變細、微弱無力', '經常會感到尿急，或是排尿時感到疼痛', '夜晚睡覺時得常起床排尿，必需立即排尿']","['腎俞', '太溪', '關元', '會陽', '白環俞']"
DIS0668,急性下背痛,,足太陽膀胱經,['六周内持續下背痛'],"['腎俞', '陽陵泉', '行間', '風市', '委中', '崑崙', '水溝', '殷門', '命門', '居髎', '環跳', '後溪', '大腸俞', '腰陽關', '承扶', '腰痛點', '承筋']"
DIS0447,急性腰扭傷,847.2,足太陽膀胱經,"['腰部突發疼痛、活動受限、肌肉痙攣', '咳嗽打噴嚏及腹部用力時疼痛會加劇']","['腎俞', '水通穴', '水金穴', '天皇副穴', '委中', '承山', '正宗穴', '正士穴', '水溝', '復溜', '水腑穴', '三江穴', '中白穴', '下白穴', '印堂', '後溪', '委中穴', '正筋穴', '二角明穴', '馬金水穴']"
DIS0364,風濕病,719.3,足太陽膀胱經,['關節疼痛、腫脹和活動障礙'],"['腎俞', '足三里', '大椎', '血海', '曲池', '關元', '商丘', '膈俞']"
DIS0506,浮腫,,足太陽膀胱經,['浮腫'],"['腎俞', '足三里', '四花下穴', '腑腸穴', '復溜', '章門', '陰陵泉', '俠溪', '水分']"
DIS0648,酒精依賴,,足太陽膀胱經,['强烈的饮酒渴求'],"['腎俞', '足三里', '合谷', '內關', '太陽', '陽白', '大椎', '外關', '曲池', '三陰交', '神門', '肝', '百會', '交感', '腎', '印堂', '外陵', '枕', '腕骨', '築賓', '率谷', '肺']"
DIS0114,偏頭痛,346,足太陽膀胱經,"['一側頭痛，持續4-72小時', '伴隨惡心、嘔吐、畏光、怕聲音']","['腎俞', '足三里', '四花上穴', '四花中穴', '四花下穴', '側三里穴', '靈骨穴', '四花外穴', '陽陵泉', '合谷', '太沖', '太陽一穴', '太陽二穴', '重魁穴', '三重穴', '側下三里穴', '中九里穴', '州天穴', '州銀穴', '風市', '太陽', '內庭', '頭維', '風池', '大椎', '絲竹空', '關沖', '液門', '中渚', '陽池', '外關', '太溪', '風府', '曲池', '正士穴', '三陰交', '百會', '神庭', '大陵', '然谷', '中封', '列缺', '太淵', '頂中線', '大白穴', '懸鐘', '中白穴', '下白穴', '角孫', '十八星穴', '州火穴', '印堂', '後溪', '丘墟', '足臨泣', '俠溪', '六完穴', '水清穴', '火府穴', '火梁穴', '火昌穴', '金府穴', '金梁穴', '金昌穴', '鼻翼穴', '州靈穴', '頷厭', '懸顱', '一重穴', '二重穴', '率谷', '陷谷', '通天', '州金穴', '頂顳前斜線', '水腰穴', '三靈穴', '耳三穴', '陽輔', '心點', '偏頭點']"
DIS0436,排尿困難,788.1,足太陽膀胱經,['排尿困難'],"['腎俞', '足三里', '四花上穴', '太沖', '雲白穴', '人皇穴', '血海', '三陰交', '火硬穴', '水腑穴', '陰陵泉', '中極', '氣海', '膀胱俞', '次髎', '地機', '火主穴', '通腎穴', '通胃穴', '地皇穴', '李白穴', '委陽', '天井', '陰谷', '天皇穴', '交信', '蠡溝', '三焦俞', '四瀆', '曲泉']"
DIS0494,產後宮縮痛,,足太陽膀胱經,['產後宮縮痛'],"['腎俞', '足三里', '合谷', '血海', '關元', '三陰交', '氣海', '十七椎', '膈俞', '腰陽關']"
DIS0663,術後疼痛,,足太陽膀胱經,['術後疼痛'],"['腎俞', '足三里', '陽陵泉', '合谷', '期門', '太沖', '內關', '風市', '內庭', '下關', '頭維', '頰車', '聽宮', '天突', '翳風', '中渚', '外關', '厥陰俞', '委中', '崑崙', '血海', '曲池', '三陰交', '神門', '皮質下', '口', '肝', '百會', '勞宮', '梁丘', '足竅陰', '湧泉', '大鐘', '隱白', '陰陵泉', '命門', '天樞', '白環俞', '次髎', '大敦', '公孫', '伏兔', '臂臑', '胃', '睛明', '交感', '腎', '心', '至陰', '枕', '內分泌', '瞳子髎', '丘墟', '大腸俞', '蠡溝', '大包', '肩井', '厲兌', '中府', '犢鼻', '承泣', '陽交', '率谷', '三陽絡', '肺', '腰骶椎', '金門', '內膝眼', '外丘', '俞府', '養老', '賁門', '丘腦', '牙', '陰市']"
DIS0321,痛經症,625.3,足太陽膀胱經,['主要症狀是疼痛，當月經來潮時會有下腹或骨盆疼痛，並可能伴有腹瀉、倦怠、頭暈、頭痛等症狀，嚴重甚至出現噁心、嘔吐、臉色蒼白、四肢發冷，影響生活及工作'],"['腎俞', '足三里', '四花上穴', '四花中穴', '四花下穴', '靈骨穴', '門金穴', '合谷', '太沖', '內關', '重魁穴', '內庭', '血海', '太溪', '曲池', '指三黃穴', '關元', '三陰交', '神門', '皮質下', '肝', '脾', '百會', '湧泉', '命門', '天樞', '婦科五穴', '中極', '氣海', '膀胱俞', '大赫', '次髎', '十七椎', '地機', '木婦穴', '子宮', '額旁3線', '璇璣', '大白穴', '手三里', '帶脈', '神闕', '交感', '腎', '內分泌', '胞肓', '關元俞', '卵巢', '水泉', '內生殖器', '三焦俞', '大包', '木府穴', '木梁穴', '木昌穴', '大橫', '附分', '四滿']"
DIS0348,痤瘡,706,足太陽膀胱經,"['粉刺', '丘疹', '脓疱', '皮脂溢出']","['腎俞', '足三里', '合谷', '三重穴', '肺俞', '大椎', '血海', '曲池', '三陰交', '神門', '皮質下', '面頰', '大陵', '二間', '外三關穴', '天黃穴', '明黃穴', '其黃穴', '內分泌', '駟馬下穴', '駟馬上穴', '駟馬中穴', '三焦', '腎上腺', '肺', '大腸', '胃脾大腸區', '風溪']"
DIS0293,腎炎,590.8,足太陽膀胱經,[],"['腎俞', '靈骨穴', '水通穴', '水金穴', '人皇穴', '太溪', '復溜', '三神穴', '水中穴', '水腑穴', '通腎穴', '通胃穴', '通背穴', '腑巢二十三穴', '地皇穴', '中白穴', '水相穴', '水仙穴', '後溪', '三叉三穴', '水愈穴', '後椎穴', '首英穴', '育英穴', '天皇穴', '火府穴', '火梁穴', '火昌穴', '腕順一穴', '腕順二穴', '曲泉', '馬金水穴']"
DIS0632,腎病不適,,足太陽膀胱經,[],"['腎俞', '太溪', '命門', '京門']"
DIS0435,腎絞痛,788,足太陽膀胱經,[],"['腎俞', '太溪', '三陰交', '皮質下', '陰陵泉', '中極', '京門', '交感', '腎', '志室', '水泉', '金門', '輸尿管']"
DIS0077,陽痿,302.7,足太陽膀胱經,"['性慾來時陰莖無法充血勃起', '雖然能勃起卻不夠堅硬', '硬起來沒多久就軟倒', '完全無性慾']","['腎俞', '天皇副穴', '人皇穴', '委中', '關元', '三陰交', '神門', '皮質下', '肝', '脾', '百會', '本神', '三神穴', '水腑穴', '命門', '中極', '氣海', '歸來', '中膂俞', '會陽', '曲骨', '次髎', '大敦', '通腎穴', '通胃穴', '通背穴', '子宮', '地皇穴', '後頂', '腎', '內分泌', '後溪', '橫骨', '志室', '關元俞', '大腸俞', '天皇穴', '氣', '蠡溝', '內生殖器', '氣沖', '睪丸', '外生殖器']"
DIS0188,腦血管疾病後遺症,438,足太陽膀胱經,[],"['腎俞', '足三里', '陽陵泉', '合谷', '太沖', '內關', '風市', '承漿', '攢竹', '內庭', '四白', '地倉', '頰車', '風池', '豐隆', '肩髃', '翳風', '外關', '委中', '太溪', '風府', '曲池', '關元', '百會', '牽正', '水溝', '大陵', '勞宮', '湧泉', '命門', '頂中線', '環跳', '手三里', '神闕', '膻中', '額中線', '頂顳前斜線']"
DIS0406,腰椎間盤突出,722.93,足太陽膀胱經,[],"['腎俞', '足三里', '陽陵泉', '七里穴', '委中', '承山', '關元', '殷門', '命門', '秩邊', '環跳', '夾脊', '腰陽關', '腰眼', '鶴頂']"
SYS0020,腰痛,724.2,足太陽膀胱經,[],"['腎俞', '靈骨穴', '水通穴', '水金穴', '陽陵泉', '太沖', '外白穴', '重魁穴', '手解穴', '中九里穴', '風市', '天皇副穴', '人皇穴', '七里穴', '液門', '委中', '承山', '崑崙', '血海', '太溪', '火陵穴', '正士穴', '復溜', '三神穴', '大都', '命門', '下九里穴', '上九里穴', '膀胱俞', '公孫', '地機', '通腎穴', '通胃穴', '通背穴', '地皇穴', '大白穴', '夾脊', '火串穴', '火腑海穴', '中白穴', '下白穴', '火山穴', '上白穴', '內通關穴', '內通山穴', '內通天穴', '州火穴', '委陽', '水相穴', '水仙穴', '駟馬下穴', '駟馬上穴', '駟馬中穴', '委中穴', '三叉三穴', '地士穴', '分白穴', '束骨', '神耳穴', '水愈穴', '上士穴', '志室', '後椎穴', '首英穴', '育英穴', '三叉一穴', '大腸俞', '天皇穴', '三焦俞', '分水穴', '水清穴', '內白穴', '肩井', '火府穴', '火梁穴', '火昌穴', '金府穴', '金梁穴', '金昌穴', '州靈穴', '水曲穴', '腕順一穴', '腕順二穴', '後枝穴', '富頂穴', '安脊穴', '復原一穴', '復原二穴', '復原三穴', '二角明穴', '少白穴', '花骨三穴', '木府穴', '木梁穴', '木昌穴', '州金穴', '小節穴', '水海穴', '水腰穴', '三靈穴', '腰靈穴', '馬金水穴', '水耳穴', '坐骨神經點', '腰腿點']"
DIS0305,慢性前列腺炎,601.1,足太陽膀胱經,"['長期反復的盆腔區域疼痛或不適，包括會陰部、外生殖器、下腹部、恥骨區、腰骶及肛周墜脹疼痛不適', '尿頻、尿急、尿痛、尿不盡感、尿道灼熱', '排尿等待、排尿無力、尿綫變細、尿分叉或中斷、排尿時間延長', '晨起小編末尾、排便時尿道有少量白色分泌物流出', '早泄、遺精、射精前後疼痛或不適', '頭暈、乏力、記憶力減退、精神抑鬱、焦慮']","['腎俞', '足三里', '合谷', '太沖', '血海', '太溪', '關元', '三陰交', '陰陵泉', '中極', '氣海', '膀胱俞', '水道', '白環俞', '曲骨', '次髎', '公孫', '地機', '秩邊', '環跳', '後溪', '足臨泣', '三焦俞', '會陰', '中髎', '下髎']"
DIS0623,慢性盆腔炎,,足太陽膀胱經,"['持续性下腹疼痛、阴道分泌物增多、下腹部有坠胀感、疼痛及腰骶部酸痛', '活动或性交后、月经前后、不适及疼痛更加严重', '月经期发病可经量增多、行经时间延长', '长期持续低热甚至高热、头痛、食欲缺乏']","['腎俞', '足三里', '關元', '三陰交']"
DIS0291,慢性腎炎,590,足太陽膀胱經,[],"['腎俞', '足三里', '合谷', '風池', '曲池', '三陰交', '小腸俞', '列缺', '中白穴', '下白穴', '大腸俞', '正脊穴', '腰靈穴']"
DIS0300,膀胱炎,595,足太陽膀胱經,"['下腹部不適', '有血尿', '頻尿', '排尿時感到疼痛', '排尿結束還是會有尿不幹淨的感覺', '尿道口有白色的分泌物', '尿尿時有灼熱感']","['腎俞', '足三里', '行間', '太沖', '人皇穴', '血海', '曲池', '其門穴', '其角穴', '其正穴', '關元', '三陰交', '本神', '小腸俞', '陰陵泉', '中極', '膀胱俞', '水道', '次髎', '通腎穴', '通胃穴', '通背穴', '地皇穴', '中白穴', '下白穴', '天皇穴', '水清穴', '外間穴', '腕順一穴', '腕順二穴', '木府穴', '木梁穴', '木昌穴', '六快穴', '七快穴', '馬快水穴', '腑快穴']"
DIS0411,增生性腰椎綜合徵,724.8,足太陽膀胱經,"['腰痛', '下肢放射性疼痛']","['腎俞', '足三里', '陽陵泉', '委中', '關元', '命門', '至陽', '環跳', '腰陽關', '腰眼', '腰痛點']"
DIS0696,潮熱,,足太陽膀胱經,['发病按时而至，如潮水按时来潮一样'],"['腎俞', '足三里', '陽陵泉', '合谷', '太沖', '內關', '風池', '肺俞', '大椎', '支溝', '太溪', '關元', '三陰交', '神門', '百會', '大陵', '復溜', '列缺', '太淵', '陰陵泉', '氣海', '心俞', '陰郄', '束骨', '曲泉']"
SYS0046,頻尿,788.41,足太陽膀胱經,['頻尿'],"['腎俞', '天皇副穴', '人皇穴', '太溪', '花骨四穴', '復溜', '中極', '木婦穴', '地皇穴', '海豹穴', '天皇穴', '六快穴', '七快穴', '馬快水穴', '腑快穴']"
DIS0650,癌症相關失眠,,足太陽膀胱經,[],"['腎俞', '足三里', '太沖', '內關', '豐隆', '血海', '太溪', '關元', '三陰交', '神門', '百會', '神庭', '陰陵泉', '次髎', '心俞', '神闕', '四神聰', '印堂']"
DIS0396,關節疼痛(腰椎部),719.48,足太陽膀胱經,[],"['腎俞', '大椎', '委中', '水溝', '十七椎', '後溪', '腰陽關']"
DIS0116,三叉神經痛(第一支痛),350.1,足陽明胃經,"['前額劇痛', '上臉劇痛', '眼球劇痛', '鼻部劇痛']","['足三里', '合谷', '攢竹', '魚腰', '太陽', '陽白', '三間', '內庭', '下關', '頭維']"
SYS0095,口中有酸味,,足陽明胃經,[],['足三里']
DIS0319,子宮異位,621.6,足陽明胃經,"['痛經', '月經異常', '不孕', '性交疼痛', '尿頻、尿痛、血尿']","['足三里', '三陰交', '照海', '還巢穴', '中極', '大敦']"
DIS0316,子宮脫垂,618.1,足陽明胃經,['子宮離開正常的位置，經由骨盆底部下垂到陰道'],"['足三里', '太沖', '關元', '三陰交', '百會', '湧泉', '照海', '氣海', '大赫', '生殖區', '子宮', '維道', '足運區', '枕上旁線', '額旁3線', '頂中線', '璇璣']"
DIS0253,小兒消化不良,536.8,足陽明胃經,['上腹痛、腹胀、胃气胀、早饱、嗳气、恶心、呕吐、上腹灼热感等，这些症状持续存在或反复发作，但缺乏特征性，并且极少全部同时出现，多只出现一种或数种'],"['足三里', '中脘', '身柱', '陰陵泉', '四縫']"
DIS0099,小兒麻痺後遺症(下肢癱瘓),343,足陽明胃經,[],"['足三里', '陽陵泉', '三陰交', '殷門', '陰陵泉', '環跳', '夾脊', '伏兔']"
DIS0105,小兒腦癱(下肢癱),343.1,足陽明胃經,[],"['足三里', '太沖', '委中', '崑崙', '殷門', '環跳', '懸鐘']"
DIS0656,中風後打嗝,,足陽明胃經,['中風後打嗝'],"['足三里', '行間', '太沖', '內關', '中脘', '攢竹', '天突', '三陰交', '百會', '水溝', '夾脊', '膻中']"
DIS0189,中風後遺症,438,足陽明胃經,['中風後遺症'],"['足三里', '內關', '下泉穴', '上泉穴', '後會穴', '三陰交', '正會穴', '前會穴', '中泉穴', '木火穴']"
DIS0195,中風後遺症(下肢癱),438.4,足陽明胃經,['中風後遺症(下肢癱)'],"['足三里', '陽陵泉', '太沖', '解溪', '委中', '崑崙', '環跳', '懸鐘']"
DIS0192,中風後遺症偏癱,438.2,足陽明胃經,['中風後遺症偏癱'],"['足三里', '手三里', '顳三針']"
DIS0635,五臟六腑相關疾病,,足陽明胃經,[],"['足三里', '行間', '解溪', '委中', '關元', '湧泉', '復溜', '隱白', '太白', '水道', '曲骨', '公孫', '委陽', '中注', '足五里']"
DIS0426,心搏過速,785,足陽明胃經,"['心悸、明顯感覺到自己的心跳', '呼吸困呐、短時間暈厥、胸痛、排尿次數異常增多']","['足三里', '四花中穴', '靈骨穴', '四花外穴', '內關', '天柱', '太溪', '心靈穴', '神門', '郄門', '間使', '地宗穴', '三叉穴', '心門穴', '通關穴', '通天穴', '心常一穴', '心常二穴', '心常三穴', '四花副穴', '人士穴', '地士穴', '天士穴', '曲差', '少海', '束骨', '耳尖', '胸腔區']"
DIS0178,心臟衰竭,428,足陽明胃經,"['氣促、胸悶、需要墊高上半身睡覺', '雙下肢水腫、乏力、頭暈、']","['足三里', '四花上穴', '四花中穴', '四花下穴', '合谷', '太沖', '內關', '頰車', '肺俞', '厥陰俞', '太溪', '神門', '郄門', '指腎穴', '總樞穴', '膈俞', '心俞', '人迎', '內通關穴', '內通山穴', '內通天穴', '膻中', '火連穴', '火耳穴', '後心穴', '神耳穴']"
SYS0192,手腳冰冷,,足陽明胃經,['手腳冰冷'],"['足三里', '關沖', '陽池', '關元', '三陰交', '湧泉', '復溜', '命門', '膀胱俞', '志室', '胞肓', '手心區']"
DIS0235,支氣管擴張,494,足陽明胃經,"['持续或反复咳嗽', '咳痰或咳脓痰']","['足三里', '風門', '肺俞', '天突', '豐隆', '尺澤', '太淵', '膻中']"
SYS0067,牙痛,,足陽明胃經,['牙痛'],"['足三里', '四花上穴', '側三里穴', '四花外穴', '合谷', '外白穴', '側下三里穴', '俠承漿', '承漿', '顴髎', '三間', '內庭', '下關', '巨髎', '頰車', '聽宮', '翳風', '絲竹空', '崑崙', '太溪', '口', '耳尖', '面頰', '神門', '水溝', '商陽', '二間', '魚際', '列缺', '太淵', '手三里', '胃', '聽會', '耳門', '禾髎', '腎', '陽溪', '足臨泣', '頭臨泣', '地五會', '俠溪', '浮間穴', '外間穴', '止涎五穴', '內白穴', '三齒穴', '花骨一穴', '肩井', '牙痛點', '腎點', '溫溜', '頜', '厲兌', '大迎', '屏尖']"
SYS0065,四肢無力,,足陽明胃經,['四肢無力'],"['足三里', '合谷', '中脘', '解溪', '肩中穴', '雲白穴', '肩髃', '曲池', '梁丘', '商丘', '大都', '陰陵泉', '上曲穴', '氣海', '李白穴', '下曲穴', '內通關穴', '內通山穴', '內通天穴', '州圓穴', '州昆穴', '州崙穴', '州火穴', '陽溪', '神耳穴', '大包', '支通穴', '落通穴', '髀關']"
DIS0057,甲狀腺功能亢進症,242.9,足陽明胃經,"['体重下降、消瘦、即使饭量并未减少或增加', '食欲亢进、肠蠕动加快、大便次数增多或腹泻', '持续性心跳过快（超过100次/分钟），自觉心悸', '紧张焦虑、失眠、烦躁易怒、注意力不集中', '手抖', '多汗、不耐热', '月经周期改变（周期延长、量稀少甚至闭经）', '甲状腺肿大（脖子粗）', '皮肤变薄、光滑细腻、温暖湿润', '毛发脱落、头发变细、易断']","['足三里', '合谷', '內關', '天突', '崑崙', '三陰交', '神門', '皮質下', '肝', '間使', '心俞', '廉泉', '交感', '心', '內分泌', '緣中', '天鼎', '頸椎', '饑點', '甲狀腺', '天容']"
DIS0464,皮膚及皮下組織之其他發炎,690-698,足陽明胃經,[],"['足三里', '合谷', '感覺區', '風池', '大椎', '委中', '血海', '曲池', '三陰交', '足運區', '駟馬下穴', '駟馬上穴', '駟馬中穴', '皮膚穴']"
DIS0647,各種類型癌症,,足陽明胃經,[],"['足三里', '陽陵泉', '合谷', '中脘', '曲池', '關元', '陰陵泉', '氣海', '下脘', '外陵', '後溪', '足臨泣', '少海', '滑肉門']"
SYS0040,吐瀉,787,足陽明胃經,['吐瀉'],"['足三里', '中脘', '天樞', '氣海', '手三里']"
SYS0089,多夢,,足陽明胃經,['多夢'],"['足三里', '太沖', '三陰交', '神門', '隱白', '心俞', '厲兌']"
DIS0019,百日咳,033,足陽明胃經,['阵发性痉挛性咳嗽，且伴有鸡鸣样吸气性吼声'],"['足三里', '合谷', '風門', '肺俞', '身柱', '大椎', '天突', '豐隆', '魚際', '尺澤', '太淵', '膻中', '定喘', '額旁2線', '額中線', '額旁1線']"
